parameter,value,units,classification,confidence,source,reference,range,notes
baseline.branches.overrides.C11.tube_multiplier,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C11.coldplate_K,5500000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C11.qdc_K,2300000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C11.restriction_K,0.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C11.orifice_diameter_m,0.007552138554614863,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C12.diameter_m,0.008,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C12.tube_length_m,1.5,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C12.tube_multiplier,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C12.coldplate_K,5500000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C12.qdc_K,2300000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C12.restriction_K,0.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C12.orifice_diameter_m,0.00762558793679496,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C13.diameter_m,0.008,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C13.tube_length_m,1.5,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C13.tube_multiplier,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C13.coldplate_K,5500000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C13.qdc_K,2300000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C13.restriction_K,0.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C13.orifice_diameter_m,0.0076944697627383775,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C14.diameter_m,0.008,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C14.tube_length_m,1.5,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C14.tube_multiplier,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C14.coldplate_K,5500000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C14.qdc_K,2300000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C14.restriction_K,0.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C14.orifice_diameter_m,0.007758256671723386,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C15.diameter_m,0.008,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C15.tube_length_m,1.5,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C15.tube_multiplier,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C15.coldplate_K,5500000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C15.qdc_K,2300000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C15.restriction_K,0.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C15.orifice_diameter_m,0.007816570017088112,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C16.diameter_m,0.008,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C16.tube_length_m,1.5,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C16.tube_multiplier,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C16.coldplate_K,5500000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C16.qdc_K,2300000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C16.restriction_K,0.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C16.orifice_diameter_m,0.00786958150568617,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C17.diameter_m,0.008,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C17.tube_length_m,1.5,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C17.tube_multiplier,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C17.coldplate_K,5500000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C17.qdc_K,2300000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C17.restriction_K,0.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C17.orifice_diameter_m,0.0079197298547587,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C18.diameter_m,0.008,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C18.tube_length_m,1.5,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C18.tube_multiplier,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C18.coldplate_K,5500000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C18.qdc_K,2300000.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C18.restriction_K,0.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.branches.overrides.C18.orifice_diameter_m,None,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.cdu.mode,in_rack,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.cdu.reference,Vertiv CoolChip CDU121-like,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.cdu.capacity_W,121000,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.cdu.nominal_flow_LPM,120,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.cdu.available_dp_Pa,115000,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.cdu.approach_K,4,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.cdu.shutoff_dp_Pa,160000,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.cdu.speed,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.cdu.efficiency,0.6,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.cdu.served_racks,1,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.cdu.secondary_min_C,None,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.cdu.secondary_max_C,None,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.cdu.nominal_electric_W,875,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.cdu.rating_coolant,PG25,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.cdu.rating_supply_C,40.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.coolant.type,PG25,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.coolant.property_file,/Users/jasonsimon/Desktop/Rack Manifold Optimization/data/coolant_properties.csv,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.coolant.viscosity_multiplier,1.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.facility.supply_C,36,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.facility.flow_LPM,150,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.facility.coolant,water,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.facility.max_return_C,60,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.facility.hx_model,rating_scaled,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.facility.design_deltaT_K,12.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
baseline.facility.minimum_hot_pinch_K,0.0,see baseline schema,User-adjustable assumption,LOW,data/sources.yaml,data/sources.yaml,,Inherited without redesign. Original provenance in baseline Sources & assumptions and data/sources.yaml; no new NVL72 validation claimed.
